Vin,Make_Type,Reg_Class,Body,Segment,Make,Model,Trim,Odometer,sprice,Year,BuyHere,Seller,seller_address,Seller_City,Seller_State,Seller_Zip,Pump,Owner_City,Owner_State,Owner_Zip,Newused,data_yrmon,state_data,LienHolder,Fleet,fuel_type_txt,Lease,Alternative_Fuel,DealerType,Type,countynum,county_name
1FTEW1E51JFB70364,Domestic,Truck,PU,FULL-SIZED PICKUP,Ford,F-150,King Ranch,99213,43580,2018,,Johnson Brothers Ford Lincoln,7455 S General Bruce Dr,Temple,TX,76503,P24362,Chilton,TX,76632,Used,202201,TX,WELLS FARGO BANK,,,,Gas,Pump-In Dealer,Franchise,,Falls
1FTEW1E52JKF91744,Domestic,Truck,PU,FULL-SIZED PICKUP,Ford,F-150,King Ranch,98874,35319,2018,,Johnson Brothers Ford Lincoln,7455 S General Bruce Dr,Temple,TX,76503,P24362,Chilton,TX,76632,Used,202201,TX,GM FINANCIAL,,,,Gas,Pump-In Dealer,Franchise,,Falls
KL8CB6SA8KC800670,Domestic,Car,4D,SUBCOMPACT,Chevrolet,Spark,LS CVT,20795,16904,2019,,Volkswagen of Waco,2301 W Loop 340,Waco,TX,76712,P151525,Chilton,TX,76632,Used,202201,TX,WELLS FARGO BANK,,,,Gas,Local Dealer,Franchise,,Falls
1GCPYFED1KZ233695,Domestic,Truck,PU,FULL-SIZED PICKUP,Chevrolet,Silverado 1500,LT Trail Boss,39140,53207,2019,,Shottenkirk Toyota Granbury,5100 E Highway 377,Granbury,TX,76049,P152522,Chilton,TX,76632,Used,202201,TX,PNC BANK,,,,Gas,Pump-In Dealer,Franchise,,Falls
1D7HA18Z22J266664,Domestic,Truck,PU,FULL-SIZED PICKUP,Dodge,Ram 1500,SLT,EXEMPT,900,2002,,TLC Motor Cars,331 West Gulf Bank Rd,Houston,TX,77037,P157370,Chilton,TX,76632,Used,202201,TX,,,,,Gas,Pump-In Dealer,Independent,,Falls
3C6UR5CL6KG581648,Domestic,Truck,PU,MEDIUM & HEAVY TRUCK,Ram,2500,Tradesman,70124,48995,2019,,Jeff Hunter Toyota,1440 W Loop 340,Waco,TX,76712,P19658,Chilton,TX,76632,Used,202201,TX,TOYOTA MOTOR CREDIT CO,,,,Gas,Local Dealer,Franchise,,Falls
1GNALDEK7EZ118022,Domestic,Truck,UT,COMPACT SPORT-UTILITY,Chevrolet,Equinox,LTZ,101069,15947,2014,,Greg May Honda,1601 W Loop 340,Waco,TX,76712,P20463,Chilton,TX,76632,Used,202201,TX,TEXELL CU,,,,Gas,Local Dealer,Franchise,,Falls
3CZRE38599G700273,Import,Truck,UT,COMPACT SPORT-UTILITY,Honda,CR-V,EX,EXEMPT,9879,2009,,Greg May Honda,1601 W Loop 340,Waco,TX,76712,P20463,Chilton,TX,76632,Used,202201,TX,,,,,Gas,Local Dealer,Franchise,,Falls
3GCPCRECXJG430872,Domestic,Truck,PU,FULL-SIZED PICKUP,Chevrolet,Silverado 1500,LT,28421,34673,2018,,AutoNation Chevrolet Waco,1625 N. Valley Mills Drive,Waco,TX,76710,P8111,Chilton,TX,76632,Used,202201,TX,WELLS FARGO BANK,,,,Gas,Local Dealer,Franchise,,Falls
1G2AL15F377259733,Domestic,Car,CP,SUBCOMPACT,Pontiac,G5,Base,EXEMPT,1000,2007,,FAA Truck & Auto Sales,1100 Elaine Pl #100,Fort Worth,TX,76106,94532,Chilton,TX,76632,Used,202201,TX,,,,,Gas,Pump-In Dealer,Independent,,Falls
1ZVBP8CF1D5241168,Domestic,Car,CP,SPORTY,Ford,Mustang,GT,138737,17995,2013,,Granger Auto Sales,104 E Ward Ave,Waco,TX,76706,P136667,Chilton,TX,76632,Used,202201,TX,MEMBERS CHOICE CU,,,,Gas,Local Dealer,Independent,,Falls
JA4APUAU1MU028276,Import,Car,SW,SMALL SPORT UTILITY,Mitsubishi,Outlander Sport,ES,6739,30898,2021,,Volkswagen of Waco,2301 W Loop 340,Waco,TX,76712,P151525,Chilton,TX,76632,Used,202201,TX,REGIONAL ACCEPTANCE CO,,,,Gas,Local Dealer,Franchise,,Falls
3GNEC12058G247366,Domestic,Truck,PU,FULL-SIZED PICKUP,Chevrolet,Avalanche,LT,EXEMPT,11491,2008,,Jeff Hunter Toyota,1440 W Loop 340,Waco,TX,76712,P19658,Chilton,TX,76632,Used,202201,TX,GENCO CU,,,,Gas,Local Dealer,Franchise,,Falls
2C4RC1DGXMR558140,Domestic,Car,VN,MINIVAN,Chrysler,Voyager,LXi,73,0,2021,,United Access Pflugerville,15301 Interstate 35 Ste A,Pflugerville,TX,78660,227,Chilton,TX,76632,Used,202201,TX,,,,,Gas,Pump-In Dealer,Independent,,Falls
1G1YL2D75E5101177,Domestic,Car,CP,SPORTY,Chevrolet,Corvette,Stingray Z51,38458,49091,2014,,Mac Haik Chevrolet,11711 Katy Fwy,Houston,TX,77224,P16848,Elm Mott,TX,76640,Used,202201,TX,JP MORGAN CHASE BANK,,,,Gas,Pump-In Dealer,Franchise,,McLennan
2FMPK4AP1KBB27459,Domestic,Truck,UT,COMPACT SPORT-UTILITY,Ford,Edge,ST,30267,37499,2019,,Five Star Ford of Lewisville,1144 N Stemmons Fwy,Lewisville,TX,75067,P45563,Elm Mott,TX,76640,Used,202201,TX,JP MORGAN CHASE BANK,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1V2WR2CA7KC561456,Import,Truck,UT,FULL-SIZED SPORT UTILITY,Volkswagen,Atlas,V6 SE,7829,49108,2019,,Volkswagen of Waco,2301 W Loop 340,Waco,TX,76712,P151525,Elm Mott,TX,76640,Used,202201,TX,WELLS FARGO BANK,,,,Gas,Local Dealer,Franchise,,McLennan
1C6RREFT8KN548756,Domestic,Truck,PU,FULL-SIZED PICKUP,Ram,1500,Big Horn,73345,40105,2019,,Volkswagen of Waco,2301 W Loop 340,Waco,TX,76712,P151525,Elm Mott,TX,76640,Used,202201,TX,PENTAGON CU,,,,Gas,Local Dealer,Franchise,,McLennan
1C4NJRFB2HD175046,Domestic,Truck,UT,SMALL SPORT UTILITY,Jeep,Patriot,Latitude,94668,20066,2017,,Volkswagen of Waco,2301 W Loop 340,Waco,TX,76712,P151525,Elm Mott,TX,76640,Used,202201,TX,A PLUS CU,,,,Gas,Local Dealer,Franchise,,McLennan
1FTEW1C55KKD75505,Domestic,Truck,PU,FULL-SIZED PICKUP,Ford,F-150,XL,54501,36500,2019,,Allen Samuels Dodge Chrysler Jeep Ram,201 West Loop 340,Waco,TX,76714,P108927,Elm Mott,TX,76640,Used,202201,TX,JP MORGAN CHASE BANK,,,,Gas,Local Dealer,Franchise,,McLennan
2MEFM74VX8X617897,Domestic,Car,4D,LARGE,Mercury,Grand Marquis,GS,EXEMPT,3776,2008,,Chevrolet of West,225 T M W Pkwy,West,TX,76691,P103089,Elm Mott,TX,76640,Used,202201,TX,AMERICAN CREDIT ACCEPTANCE,,,,Gas,Local Dealer,Franchise,,McLennan
1N4AL3AP3FC143207,Import,Car,4D,MID-SIZED,Nissan,Altima,2.5,71940,18495,2015,,Burleson Nissan,300 N Burleson Blvd,Burleson,TX,76028,P118180,Elm Mott,TX,76640,Used,202201,TX,TD BANK,,,,Gas,Pump-In Dealer,Franchise,,McLennan
MAJ3P1RE9JC209448,Domestic,Car,SW,SMALL SPORT UTILITY,Ford,EcoSport,S,37274,16999,2018,,University Mazda Kia,3000 Interstate 35 S,Waco,TX,76710,P137082,Elm Mott,TX,76640,Used,202201,TX,SANTANDER CONSUMER USA,,,,Gas,Local Dealer,Franchise,,McLennan
5N1DR2MN2JC677474,Import,Truck,UT,FULL-SIZED SPORT UTILITY,Nissan,Pathfinder,S,72775,27482,2018,,Douglass Nissan of Waco,5605 Legend Lake Pkwy,Waco,TX,76710,P133327,Elm Mott,TX,76640,Used,202201,TX,WELLS FARGO BANK,,,,Gas,Local Dealer,Franchise,,McLennan
KL4CJCSM3KB814902,Domestic,Truck,UT,SMALL SPORT UTILITY,Buick,Encore,Essence,338,29800,2019,,Jubilee Subaru Mitsubishi,4717 W Waco Dr,Waco,TX,76710,P150279,Elm Mott,TX,76640,Used,202201,TX,,,,,Gas,Local Dealer,Franchise,,McLennan
5XYZU3LB3HG456557,Import,Truck,UT,COMPACT SPORT-UTILITY,Hyundai,SANTA FE Sport,2.4L,98242,20385,2017,,Greg May Hyundai,1501 West Loop 340,Waco,TX,76712,P129711,Elm Mott,TX,76640,Used,202201,TX,GLOBAL LENDING SERVICES,,,,Gas,Local Dealer,Franchise,,McLennan
1FM5K8GTXFGB76080,Domestic,Truck,UT,FULL-SIZED SPORT UTILITY,Ford,Explorer,Sport,118006,20000,2015,,Leif Johnson Ford Truck City,15301 S I H 35,Buda,TX,78610,P52491,Elm Mott,TX,76640,Used,202201,TX,GENCO CU,,,,Gas,Pump-In Dealer,Franchise,,McLennan
2GCEC19T1Y1196160,Domestic,Truck,PU,FULL-SIZED PICKUP,Chevrolet,Silverado 1500,LT,EXEMPT,3000,2000,,Freedom Auto Sales,1707 E Main St,Gatesville,TX,76528,P9384,Elm Mott,TX,76640,Used,202201,TX,,,,,Gas,Pump-In Dealer,Independent,,McLennan
1G1YU2D64F5603037,Domestic,Car,CP,SPORTY,Chevrolet,Corvette,Z06,10891,71998,2015,,CarMax Killeen,3504 E Central Texas Expy,Killeen,TX,76543,P153608,Bruceville,TX,76630,Used,202201,TX,CARMAX AUTO FINANCE,,,,Gas,Pump-In Dealer,Independent,,McLennan
1N6AA1C56JN514631,Import,Truck,PU,FULL-SIZED PICKUP,Nissan,Titan,SV,15145,41998,2018,,CarMax Austin,13300 N Interstate Hwy 35,Austin,TX,78753,P52241,Bruceville,TX,76630,Used,202201,TX,CARMAX AUTO FINANCE,,,,Gas,Pump-In Dealer,Independent,,McLennan
KNDPM3AC6H7230691,Import,Truck,UT,COMPACT SPORT-UTILITY,Kia,Sportage,LX,23873,21990,2017,,Carvana Austin,6014 S IH 35 Frontage Rd,Austin,TX,78745,P137592,Bruceville,TX,76630,Used,202201,TX,POINTWEST BANK,,,,Gas,Pump-In Dealer,Independent,,McLennan
5NPEC4AC4DH649502,Import,Car,4D,LARGE,Hyundai,SONATA,SE,63520,15990,2013,,Unidentified Seller,,,,,,Bruceville,TX,76630,Used,202201,TX,CARVANA,,,,Gas,Pump-In Dealer,Franchise,,McLennan
2C3CCAEG3GH243344,Domestic,Car,4D,LARGE,Chrysler,300,C,141563,16296,2016,,AutoNation Chrysler Dodge Jeep Ram North Richland Hills,7740 Ne Loop 820,North Richland Hills,TX,76180,P10200,Bruceville,TX,76630,Used,202201,TX,EDUCATIONAL EMPLOYEE CU,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1FT8W3DT3BEC87847,Domestic,Truck,PU,MEDIUM & HEAVY TRUCK,Ford,F-350 Super Duty,King Ranch,128928,37500,2011,,SouthWest Ford Weatherford,3000 Fort Worth Hwy,Weatherford,TX,76087,P15079,Bruceville,TX,76630,Used,202201,TX,WELLS FARGO BANK,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1FTEW1CP4KKF01239,Domestic,Truck,PU,FULL-SIZED PICKUP,Ford,F-150,XL,42090,36718,2019,,Johnson Brothers Ford Lincoln,7455 S General Bruce Dr,Temple,TX,76503,P24362,Bruceville,TX,76630,Used,202201,TX,MEMBERS CHOICE CU,,,,Gas,Pump-In Dealer,Franchise,,McLennan
4M2CU87157KJ17578,Domestic,Truck,UT,SMALL SPORT UTILITY,Mercury,Mariner,Premier,EXEMPT,0,2007,,Unidentified Seller,,,,,,Bruceville,TX,76630,Used,202201,TX,,,,,Gas,Pump-In Dealer,Franchise,,McLennan
5XYP34HC8MG134184,Import,Truck,UT,FULL-SIZED SPORT UTILITY,Kia,Telluride,EX,12440,49500,2021,,Jeff Hunter Toyota,1440 W Loop 340,Waco,TX,76712,P19658,Bruceville,TX,76630,Used,202201,TX,GENCO CU,,,,Gas,Local Dealer,Franchise,,McLennan
SAJBR4FX3JCY69834,Import,Car,4D,LUXURY,Jaguar,XF,25t,72280,24980,2018,,Jim Turner Chevrolet,1015 E Mcgregor Dr,McGregor,TX,76657,P127715,Bruceville,TX,76630,Used,202201,TX,WELLS FARGO BANK,,,,Gas,Local Dealer,Franchise,,McLennan
1J4HR58275C614135,Domestic,Truck,UT,COMPACT SPORT-UTILITY,Jeep,Grand Cherokee,Limited,EXEMPT,8900,2005,,Unidentified Seller,,,,,,Bruceville,TX,76630,Used,202201,TX,,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1FMJU1H53AEB64356,Domestic,Truck,UT,FULL-SIZED SPORT UTILITY,Ford,Expedition,Eddie Bauer,EXEMPT,0,2010,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
1FMJU1K50BEF20823,Domestic,Truck,UT,FULL-SIZED SPORT UTILITY,Ford,Expedition,Limited,148115,0,2011,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
3VWD17AJ0FM243132,Import,Car,4D,COMPACT,Volkswagen,Jetta,SE,69900,0,2015,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
KMHCT4AE3GU080284,Import,Car,4D,COMPACT,Hyundai,ACCENT,SE,52182,0,2016,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
1FTEX1C83AKE15537,Domestic,Truck,PU,FULL-SIZED PICKUP,Ford,F-150,STX,EXEMPT,0,2010,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
3FA6P0G72FR193999,Domestic,Car,4D,MID-SIZED,Ford,Fusion,S,148634,0,2015,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
1N4AL3AP8GN311509,Import,Car,4D,MID-SIZED,Nissan,Altima,2.5,110283,0,2016,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
1C3CDFBB6FD309755,Domestic,Car,4D,MID-SIZED,Dodge,Dart,SXT,99449,0,2015,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
1N4AL3AP2DC152686,Import,Car,4D,MID-SIZED,Nissan,Altima,2.5,93202,0,2013,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
1N4BL3AP6DN536415,Import,Car,4D,MID-SIZED,Nissan,Altima,3.5 S,142989,0,2013,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
JTHBF5C24C5157084,Import,Car,4D,LUXURY,Lexus,IS 250,Base,87498,0,2012,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
WBAWB73507P035401,Import,Car,CP,LUXURY,BMW,3 Series,335i,EXEMPT,0,2007,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
1C3CDFBB1ED776029,Domestic,Car,4D,MID-SIZED,Dodge,Dart,SXT,99235,0,2014,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
JTLZE4FE0A1100019,Domestic,Car,SW,LARGE,Scion,xB,Base,EXEMPT,0,2010,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
1B3BD4FB3BN608423,Domestic,Car,4D,MID-SIZED,Dodge,Avenger,Express,89856,0,2011,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
ML32A3HJ7FH003852,Import,Car,4D,COMPACT,Mitsubishi,Mirage,DE,48109,0,2015,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
JHMCP26378C066771,Import,Car,4D,,Honda,Accord,LX,EXEMPT,0,2008,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
1G1PE5SB4G7207531,Domestic,Car,4D,COMPACT,Chevrolet,Cruze Limited,1LT Auto,68891,0,2016,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
1G1ZC5E10BF284333,Domestic,Car,4D,MID-SIZED,Chevrolet,Malibu,LT,70129,0,2011,,Interstate Motors,17794 S Interstate 35,Bruceville,TX,76630,P154025,Bruceville,TX,76630,Used,202201,TX,,Y,,,Gas,Local Dealer,Independent,,McLennan
1G6AT5S35E0142080,Domestic,Car,4D,LUXURY,Cadillac,CTS,3.6L Premium Collection,59636,25990,2014,,Carvana Dallas,1123 Cantrell Sansom Rd,Blue Mound,TX,76131,P129047,China Spring,TX,76633,Used,202201,TX,CARVANA,,,,Gas,Pump-In Dealer,Independent,,McLennan
JTMFB3FVXMD006864,Import,Truck,UT,COMPACT SPORT-UTILITY,Toyota,RAV4 Prime,XSE,6971,54998,2021,,Sewell Lexus of Dallas,6421 Lemmon Ave,Dallas,TX,75209,P17018,China Spring,TX,76633,Used,202201,TX,,,,,PHEV,Pump-In Dealer,Franchise,,McLennan
5TFCZ5AN8LX228270,Import,Truck,PU,COMPACT PICKUP,Toyota,Tacoma,TRD Pro,51906,0,2020,,Family Toyota of Burleson,801 South Burleson Blvd,Burleson,TX,76028,P127490,China Spring,TX,76633,Used,202201,TX,TOYOTA MOTOR CREDIT CO,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1XKAD49X56J159586,Domestic,Truck,HT,MEDIUM & HEAVY TRUCK,Kenworth,T600,,EXEMPT,16000,2006,,Ritchie Bros Auction,15500 Eastex Fwy,Humble,TX,77396,P107540,China Spring,TX,76633,Used,202201,TX,PEOPLES UNITED EQUIPMENT FINANCE,Y,,,Gas,Pump-In Dealer,Independent,,McLennan
1C6RR7PT6HS518885,Domestic,Truck,PU,FULL-SIZED PICKUP,Ram,1500,Laramie Limited,128979,37900,2017,,Allen Samuels Dodge Chrysler Jeep Ram,201 West Loop 340,Waco,TX,76714,P108927,China Spring,TX,76633,Used,202201,TX,WELLS FARGO BANK,,,,Gas,Local Dealer,Franchise,,McLennan
1G1ZD5ST4LF109507,Domestic,Car,4D,MID-SIZED,Chevrolet,Malibu,LT,53913,23235,2020,,Chevrolet of West,225 T M W Pkwy,West,TX,76691,P103089,China Spring,TX,76633,Used,202201,TX,EXETER FINANCE CORP,,,,Gas,Local Dealer,Franchise,,McLennan
1V2MC2CA3LC224812,Import,Truck,UT,FULL-SIZED SPORT UTILITY,Volkswagen,Atlas Cross Sport,SEL 4Motion,4841,42000,2020,,Lewisville Volkswagen,893 S Stemmons Fwy,Lewisville,TX,75067,P45565,China Spring,TX,76633,Used,202201,TX,VOLKSWAGEN CREDIT,,,,Gas,Pump-In Dealer,Franchise,,McLennan
3VV1B7AX6KM087083,Import,Truck,UT,COMPACT SPORT-UTILITY,Volkswagen,Tiguan,S,37000,18520,2019,,Volkswagen Credit,1401 Franklin Blvd,Libertyville,IL,60048,,China Spring,TX,76633,Used,202201,TX,HEART O TEXAS CU,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1N4AL3AP8FC103186,Import,Car,4D,MID-SIZED,Nissan,Altima,2.5,113718,12995,2015,,Jeff Hunter Toyota,1440 W Loop 340,Waco,TX,76712,P19658,China Spring,TX,76633,Used,202201,TX,TOYOTA MOTOR CREDIT CO,,,,Gas,Local Dealer,Franchise,,McLennan
WMWSS5C55EWN66728,Import,Car,CP,SUBCOMPACT,MINI,Paceman,Cooper S,59840,15167,2014,,Greg May Honda,1601 W Loop 340,Waco,TX,76712,P20463,China Spring,TX,76633,Used,202201,TX,FIFTH THIRD BANK,,,,Gas,Local Dealer,Franchise,,McLennan
1FMJU1HT0HEA57306,Domestic,Truck,UT,FULL-SIZED SPORT UTILITY,Ford,Expedition,XLT,70201,29849,2017,,Bird Kultgen Ford,1701 W Loop 340,Waco,TX,76701,P10554,China Spring,TX,76633,Used,202201,TX,TD BANK,,,,Gas,Local Dealer,Franchise,,McLennan
WDCGG5HB0EG166895,Import,Truck,UT,COMPACT SPORT-UTILITY,Mercedes-Benz,GLK,GLK 350,65161,23363,2014,,Bird Kultgen Ford,1701 W Loop 340,Waco,TX,76701,P10554,China Spring,TX,76633,Used,202201,TX,WELLS FARGO BANK,,,,Gas,Local Dealer,Franchise,,McLennan
1GKS1GKC3HR368335,Domestic,Truck,UT,FULL-SIZED SPORT UTILITY,GMC,Yukon XL,SLT,26801,48268,2017,,Fort Worth Motorcars,9000 West Freeway,White Settlement,TX,76108,P147752,China Spring,TX,76633,Used,202201,TX,WELLS FARGO BANK,,,,Gas,Pump-In Dealer,Franchise,,McLennan
5TFAZ5CN0KX083700,Import,Truck,PU,COMPACT PICKUP,Toyota,Tacoma,TRD Off-Road,11746,39000,2019,,Don Ringler Chevrolet,7777 S General Bruce Dr,Temple,TX,76502,P113368,China Spring,TX,76633,Used,202201,TX,TOYOTA MOTOR CREDIT CO,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1N6BA07D89N318797,Import,Truck,PU,FULL-SIZED PICKUP,Nissan,Titan,LE FFV,EXEMPT,0,2009,,Vamos Auto,1601 S Valley Mills Dr,Waco,TX,76711,P159116,China Spring,TX,76633,Used,202201,TX,Unidentified Lienholder,,,,Gas,Local Dealer,Independent,,McLennan
JTEBU5JR9H5478371,Import,Truck,UT,FULL-SIZED SPORT UTILITY,Toyota,4Runner,SR5,64037,38557,2017,,Shottenkirk Ford Granbury,4950 E US Hwy 377,Granbury,TX,76049,P164049,China Spring,TX,76633,Used,202201,TX,FORT WORTH COMMUNITY CU,,,,Gas,Pump-In Dealer,Franchise,,McLennan
2FMPK3J82HBB96530,Domestic,Truck,UT,COMPACT SPORT-UTILITY,Ford,Edge,SEL,53566,29554,2017,,Mike Terry Chrysler Dodge Jeep RAM,306 Sw I-35,Hillsboro,TX,76645,P161273,China Spring,TX,76633,Used,202201,TX,CHRYSLER CAPITAL,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1FT7W2BT7JEB58422,Domestic,Truck,PU,MEDIUM & HEAVY TRUCK,Ford,F-250 Super Duty,King Ranch,101938,61428,2018,,AutoNation USA Corpus Christi,3115 S Padre Island Dr,Corpus Christi,TX,78415,P140125,China Spring,TX,76633,Used,202201,TX,EDUCATORS CU,,,,Gas,Pump-In Dealer,Independent,,McLennan
2T2ZK1BA5AC031860,Import,Truck,UT,COMPACT SPORT-UTILITY,Lexus,RX 350,Base,EXEMPT,20478,2010,,Crest Automotive,6100 State Hwy 121,Frisco,TX,75034,P132806,China Spring,TX,76633,Used,202201,TX,CAPITAL ONE AUTO FINANCE,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1FMJU1MT3KEA72993,Domestic,Truck,UT,FULL-SIZED SPORT UTILITY,Ford,Expedition,Platinum,43601,61400,2019,,Cavender Buick GMC North,17811 San Pedro Ave,San Antonio,TX,78232,P13614,China Spring,TX,76633,Used,202201,TX,GM FINANCIAL,,,,Gas,Pump-In Dealer,Franchise,,McLennan
JF2SJAGC0HH428452,Import,Car,SW,COMPACT SPORT-UTILITY,Subaru,Forester,2.5i Premium,39964,24588,2017,,Jubilee Subaru Mitsubishi,4717 W Waco Dr,Waco,TX,76710,P150279,China Spring,TX,76633,Used,202201,TX,CAPITAL ONE AUTO FINANCE,,,,Gas,Local Dealer,Franchise,,McLennan
1GCRCPEH2FZ166742,Domestic,Truck,PU,FULL-SIZED PICKUP,Chevrolet,Silverado 1500,Work Truck,57424,25997,2015,,McLeod Auto Sales,1601 E Rancier Ave,Killeen,TX,76540,P131436,China Spring,TX,76633,Used,202201,TX,SANTANDER CONSUMER USA,,,,Gas,Pump-In Dealer,Independent,,McLennan
4T1BF1FK4CU135691,Import,Car,4D,MID-SIZED,Toyota,Camry,L,148901,14904,2012,,Byrider Waco,4824 W Waco Dr,Waco,TX,76710,P117280,China Spring,TX,76633,Used,202201,TX,CAR NOW ACCEPTANCE CORP,,,,Gas,Local Dealer,Independent,,McLennan
WBSAE0C03LCE29942,Import,Car,CP,SPORTY,BMW,M8,Base,7324,131000,2020,,BMW of College Station,3417 Texas 6 Frontage Rd,College Station,TX,77845,P152838,China Spring,TX,76633,Used,202201,TX,BMW BANK OF NORTH AMERICA,,,,Gas,Pump-In Dealer,Franchise,,McLennan
JF1VA2U64F9810500,Import,Car,4D,SPORTY,Subaru,WRX,STI Limited,83859,25995,2015,,DN Motors Cars,9607 Linkmeadow Ln,Houston,TX,77025,P53712,China Spring,TX,76633,Used,202201,TX,CAPITAL ONE AUTO FINANCE,,,,Gas,Pump-In Dealer,Independent,,McLennan
KM8J33A21HU554015,Import,Truck,UT,COMPACT SPORT-UTILITY,Hyundai,TUCSON,Eco,27985,15949,2017,,Unidentified Seller,,,,,15,China Spring,TX,76633,Used,202201,TX,,,,,Gas,Pump-In Dealer,Franchise,,McLennan
KM8J33A4XHU449247,Import,Truck,UT,COMPACT SPORT-UTILITY,Hyundai,TUCSON,SE,38500,15000,2017,,Unidentified Seller,,,,,15,China Spring,TX,76633,Used,202201,TX,CHARTWAY CU,,,,Gas,Pump-In Dealer,Franchise,,McLennan
1FAHP2F80HG109073,Domestic,Car,4D,LARGE,Ford,Taurus,Limited,68605,19998,2017,,CarMax Killeen,3504 E Central Texas Expy,Killeen,TX,76543,P153608,Hewitt,TX,76643,Used,202201,TX,Ally Financial,,,,Gas,Pump-In Dealer,Independent,,McLennan
1C4RJFCGXKC843463,Domestic,Truck,UT,COMPACT SPORT-UTILITY,Jeep,Grand Cherokee,Overland,39263,41998,2019,,CarMax Killeen,3504 E Central Texas Expy,Killeen,TX,76543,P153608,Hewitt,TX,76643,Used,202201,TX,CAPITAL ONE AUTO FINANCE,,,,Gas,Pump-In Dealer,Independent,,McLennan
1GYKNBRS9HZ275166,Domestic,Truck,UT,COMPACT SPORT-UTILITY,Cadillac,XT5,Luxury,81749,27998,2017,,CarMax Killeen,3504 E Central Texas Expy,Killeen,TX,76543,P153608,Hewitt,TX,76643,Used,202201,TX,SANTANDER CONSUMER USA,,,,Gas,Pump-In Dealer,Independent,,McLennan
5TFRZ5CN7LX090387,Import,Truck,PU,COMPACT PICKUP,Toyota,Tacoma,TRD Sport,10547,34590,2020,,Carvana Austin,6014 S IH 35 Frontage Rd,Austin,TX,78745,P137592,Hewitt,TX,76643,Used,202201,TX,CAPITAL ONE AUTO FINANCE,,,,Gas,Pump-In Dealer,Independent,,McLennan
